Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
73,O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(F)cc1,FC1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 111791931  23369274 ...  16937123 124409255  75695922],Other PFASs,Aromatic PFASs,,10,,12
74,CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  17313015 ... 133635739 138388023 151237944],PFAA precursors,PASF-based substances,,10,,12
75,CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  55547398  97181807 ... 129030002 124409255 151237944],PFAA precursors,PFAK derivatives,,10,,12
76,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],Other PFASs,others,,10,,12
77,FC(F)=C(F)C(F)(F)C1(F)OC1(F)F,FC(F)=C(F)C(F)(F)C1(F)OC1(F)F,[250618452  41342666 107816900 ...  65874932 101296679 151237944],"Other PFASs, cyclic","others, cyclic",,10,,12
78,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COP1(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=N1,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COP1(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=N1,[ 35941647 153479361  95504826 ... 154704470 240371511  46460802],"Other PFASs, cyclic","others, cyclic",,10,,12
79,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
80,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  14316170 ... 291378977  99703927 151237944],PFAAs,PFCA-ester derivatives,,10,,8
81,O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[  7060930   8492060 107816900 ...  54552999  72176439 151237944],Other PFASs,Aromatic PFASs,,10,,12
82,CN(C)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CN(C)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 252899431  37515159 107724166],Other PFASs,Aromatic PFASs,,10,,12
83,C=C(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)=C,[250618452 174008208 107816900 ...  65874932 240371511 151237944],PFAA precursors,PolyFAenes,,10,,12
84,COC(=O)C1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,COC(=O)C1CCC(CC1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  58856270  97181807 ... 291378977  52222487 108474474],"Polyfluoroalkyl acids, cyclic","PolyFCA derivatives, cyclic",,10,,12
85,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1,F[B-](F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]C1=CC=CC=C1,[ 64806077  21928620  97181807 ... 110967182 227926647 151237944],Other PFASs,Aromatic PFASs,,10,,12
86,O=C(CC(O)(CC(=O)OC(F)(F)F)C(=O)OC(F)(F)F)OCCOC(F)(F)F,"OC(CC(=O)OCCOC(F)(F)F)(CC(=O)OC(F)(F)F)C(=O)OC(F)(F)F |lp:0:2,4:2,5:2,8:2,10:3,11:3,12:3,15:2,16:2,18:3,19:3,20:3,22:2,23:2,25:3,26:3,27:3,Sg:n:12,11,9::ht,Sg:n:19,18,17::ht,Sg:n:26,25,24::ht|",[ 19469312 349862641  91848883 ...  13422388 147353751  98778836],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
87,FC(F)(F)C(F)(OCCCCBr)C(F)(F)F,FC(F)(F)C(F)(OCCCCBr)C(F)(F)F,[   853465 138756634 232751249 ... 182736775 426865751 213081024],Other PFASs,others,,10,,12
88,Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,NC1=CC=C(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[177832702  79512453 107816900 ...  13850487  69311799 151237944],Other PFASs,Aromatic PFASs,,10,,12
89,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,0.04,1,,4
90,FC(F)(F)C(F)(F)C(F)(F)c1nc2ccccc2nc1-c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C1=C(N=C2C=CC=CC2=N1)C1=CC=CC=C1,[ 25773932 227868861 107816900 ...  77242120 180159479 117505654],Other PFASs,Aromatic PFASs,,10,,12
91,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[191442385 107055568  17313015 ...  88808901  53184391 151237944],PFAAs,PFSAs,,10,,5
92,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(=O)O,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(O)=O,[250618452 634028201  87855067 ...  37687752 281920279 151237944],PFAAs,PFdiCAs,,10,,6
93,NC(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,NC(C(O)=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 119138944 107816900 ...  34556110 199861575 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
94,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)OC(F)(F)F,[Cu++].CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)OC(F)(F)F.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)OC(F)(F)F,[187337487 196979755  97911195 ... 611624164  98940775  70269816],PFAA precursors,PFAK derivatives,,10,,12
95,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C)(F)F,[  1426846 154242801  18439196 ...  15279529  43796935  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
96,O=C(Nc1cccc(C(F)(F)F)c1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C1=CC=CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,[ 95088122   8492060  97181807 ...  54552999  41072135 151237944],Other PFASs,Aromatic PFASs,,10,,12
97,FC(F)(F)C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[116535653 160021305 107816900 ...  96200160 281920279 106103048],PFAA precursors,HFCs,,10,,12
98,COC/C=C(\F)C(F)(F)C(F)(F)C(F)(F)F,COC\C=C(/F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  65982239 107816900 ...  57654342 281920279 151237944],Other PFASs,others,,10,,12
99,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCN=C(Cl)Cl,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCN=C(Cl)Cl,[111000236  33988699  97181807 ... 315475182 170055831 151237944],Other PFASs,others,,10,,12
100,O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  17313015 ... 120302872 156186023  31610692],PFAA precursors,PASF-based substances,,10,,12
101,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[985376801 505728944  43438459 ... 611624164 503919095 261466434],Other PFASs,Perfluoroalkanes,,10,,12
102,C=C(C)C(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 107222071  22160906],PFAA precursors,PASF-based substances,,10,,12
103,CCCCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  97181807 ... 194511214 166016711 151237944],Other PFASs,Amide derivatives,,10,,12
104,FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C(F)(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C(F)(F)C1(F)F,[111000236  58869667 107816900 ... 285534043  69000183 151237944],"Other PFASs, cyclic","Polyfluoroalkanes, cyclic",,10,,12
105,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,[250618452 104111782  97181807 ...  16631887  43796935  24985098],Other PFASs,Polyfluoroalkanes,,10,,12
106,O=C(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ...  65408281  23638503  71007262],PFAA precursors,PAECFs,,10,,12
107,CCCCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1,CCCCC(OC1=C(C=C(C=C1)C(C)(C)CC)C(C)(C)CC)C(=O)NC1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(O)=C1,[ 54297102   8492060  66871572 ...  54552999 100272231 146302344],Other PFASs,Aromatic PFASs,,10,,12
108,O=C(Oc1ccc(-c2ccc(O)cc2)cc1)C(F)(C(F)(F)F)C(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,OC1=CC=C(C=C1)C1=CC=C(OC(=O)C(F)(C(F)(F)F)C(F)(F)N2C(F)(F)C(F)(F)OC(F)(F)C2(F)F)C=C1,[ 54297102  24501632  62348548 ... 110403402  18477239 115885840],Other PFASs,Aromatic PFASs,,10,,12
109,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,[  1426846  73299756 107816900 ... 207038152  47326567  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,0.01,1,,12
110,CC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)F,CC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)F,[ 35941647  73299756 107816900 ... 490793965 101296679  46460802],PFAA precursors,HFEs,,10,,12
111,Oc1ccc(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,OC1=CC=C(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 54297102  36123943  22645447 ...  53086222  18477239 151237944],Other PFASs,Aromatic PFASs,,10,,12
112,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC[NH3+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 215423514  87855067 ...  37687752  53184391 151237944],PFAAs,PFCAs,,10,,4
113,CNc1nnc(C(F)(F)C(F)(F)C(F)(F)F)o1,CNC1=NN=C(O1)C(F)(F)C(F)(F)C(F)(F)F,[101543770 163273666 107816900 ...  59739080  83654695 107724166],Other PFASs,Aromatic PFASs,,10,,12
114,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C1=CC=C([I+]C2=CC=C(C=C2)C(C)(C)C)C=C1,[191442385 107055568  17313015 ... 253630925 104129879  29302852],PFAAs,PFSAs,0.01,1,,5
115,Oc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,CC(O)=O.OC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F,[ 54297102  36123943  97965370 ... 110403402  18477239 107724166],Other PFASs,Aromatic PFASs,,10,,12
116,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   1815513  97181807 ... 194511214 166016711 151237944],Other PFASs,Amide derivatives,,10,,12
117,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#CI(F)(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#C[I](F)(F)(F)F,[109264537  95307558  97181807 ...  78481900 281920279 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
118,CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695 151237944],PFAA precursors,PASF-based substances,,10,,12
119,FC(F)(F)C(F)(F)C(F)(F)CSCc1ccccc1,FC(F)(F)C(F)(F)C(F)(F)CSCC1=CC=CC=C1,[242542632  49018156   1092040 ... 215679073  83873703  29516144],Other PFASs,Aromatic PFASs,,10,,12
120,OCCCC/C(I)=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC\C(I)=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[191452432  11431578  97181807 ... 200578621  14046279  10360726],PFAA precursors,PolyFAC derivatives,,10,,12
121,Nc1nc(N)nc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n1,NC1=NC(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=NC(N)=N1,[ 35941647 104111782  84518597 ...  83757991 193528679  46460802],Other PFASs,Aromatic PFASs,,10,,12
122,FC(OC(F)(F)C(F)(F)C(CI)C(F)(F)F)C(F)(F)F,FC(OC(F)(F)C(F)(F)C(CI)C(F)(F)F)C(F)(F)F,[116535653 160021305  12884121 ...  96200160 101296679 151237944],Other PFASs,Polyfluoroalkyl ethers and derivatives,,10,,12
123,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,[137727442  49018156  97181807 ... 171882282  26744695 151237944],Other PFASs,others,,10,,12
124,FC(F)(F)C(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)F)n1,FC(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[ 13458306 101484161  71827340 ... 101568072  61736103 107724166],Other PFASs,Aromatic PFASs,,10,,12
125,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)[Si](C)(C)C,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)[Si](C)(C)C,[250618452   8492060 107816900 ... 169482007 200622407 151237944],Other PFASs,Si PFASs,,10,,12
126,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCC[NH2+]CCO.[O-]P(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[171249045  71278405  95504826 ...  88808901  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
127,O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[359993930  71013085  17313015 ... 253630925 101031895  36136210],PFAAs,PFESAs,,10,,11
128,C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[K+].C[N+](C)([O-])CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[187923589  33988699  17313015 ... 136323818  90036311 151237944],PFAA precursors,PASF-based substances,,10,,12
129,O=C(O)c1ccc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,OC(=O)C1=CC=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[196802390  12005311  97181807 ... 171882282  43796935 151237944],Other PFASs,Aromatic PFASs,,10,,12
130,CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
131,O=C(c1c(F)c(F)c(F)c(F)c1F)C(F)(F)C(F)(F)C(F)(F)F,FC1=C(F)C(F)=C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)=C1F,[152075867 190309893 107816900 ... 310776138  48191319 151237944],Other PFASs,Aromatic PFASs,,10,,12
132,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 104111782  97181807 ...  52063218  43796935 145874996],"Other PFASs, cyclic","others, cyclic",,10,,12
133,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C(F)(F)F,[ 35941647 104111782  17313015 ...  25029786 117586279  46460802],Polyfluoroalkyl acids,PolyFSA derivatives,,10,,12
134,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,0.1,2,,4
135,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2F)c1,CC1=CC(=CC(C)=C1NC(=O)C1=CC=CC(NC(=O)C2=CC=C(Cl)C=C2F)=C1)C(F)(C(F)(F)F)C(F)(F)F,[ 95088122  66796534  48865350 ...  25560912   2232375 107766604],Other PFASs,Aromatic PFASs,,10,,12
136,CCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
137,COc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1N,COC1=CC(=CC=C1N)C(F)(C(F)(F)F)C(F)(F)F,[220695665  79512453 232751249 ... 570392160  42235639 261466434],Other PFASs,Aromatic PFASs,,10,,12
138,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,[199289006  71278405  14316170 ...  96147097   9684535  99487042],Other PFASs,others,,10,,12
139,CCCCN(CCCC)C(=O)C(F)(F)C(F)(F)C(F)(F)F,CCCCN(CCCC)C(=O)C(F)(F)C(F)(F)C(F)(F)F,[201685148   8492060  12560177 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,,10,,12
140,CCC(C)=NO[Si](C)(OCCNS(=O)(=O)C(F)(F)C(F)(F)F)ON=C(C)CC,"CCC(C)=NO[Si](C)(OCCNS(=O)(=O)C(F)(F)C(F)(F)F)ON=C(C)CC |lp:4:1,5:2,8:2,11:1,13:2,14:2,16:3,17:3,19:3,20:3,21:3,22:2,23:1,Sg:n:17,16,15:3-7:ht|",[390780947  33988699  14707413 ... 193821482  85736199 178254488],Other PFASs,Si PFASs,,10,,12
141,C[N+](C)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[I-].C[N+](C)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[187923589 104111782  97181807 ... 171882282  43796935 151237944],Other PFASs,others,,10,,12
142,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(N(C)C(=O)c2ccc(F)cc2[N+](=O)[O-])c1F,CN(C(=O)C1=CC=C(F)C=C1[N+]([O-])=O)C1=CC=CC(C(=O)NC2=C(C)C=C(C=C2C)C(F)(C(F)(F)F)C(F)(F)F)=C1F,[  7060930 288443460  43917465 ... 144813810  72176439 107766604],Other PFASs,Aromatic PFASs,,10,,12
143,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,,10,,12
144,CC(O)C(F)(F)C(F)(F)C(F)(F)F,CC(O)C(F)(F)C(F)(F)C(F)(F)F,[ 95360230 541103106 107816900 ... 611624164 281920279 151237944],Other PFASs,others,,10,,12
