Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
2107,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,[   853465 398765097  87855067 ...  37687752 101296679 151237944],PFAAs,PFECAs,,10,,2
2108,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr,[250618452 104111782  97181807 ...  19892185 124761079 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2109,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2110,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2111,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 427146519 106717670 ... 186412826 281920279 151237944],Other PFASs,others,,10,,12
2112,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[202062147 541103106 107816900 ...  35740225 124409255  75695922],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2113,O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(COP(O)(O)=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207530443  71278405  95504826 ... 171882282  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2114,FC(F)(F)C(F)(F)C(F)(F)/C=N/c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)\C=N\C1=CC=CC=C1,[138816069 312252844 107816900 ... 215679073 107767783 151237944],Other PFASs,Aromatic PFASs,,10,,12
2115,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801  18439196 ...  15279529  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2116,C=C(C)C(=O)OCC(C)OC(=O)Nc1cc(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1C,[H]N(C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC(N([H])C(=O)OC(C)COC(=O)C(C)=C)=C(C)C=C1,[  1426846  33988699  17313015 ... 136323818 111393351  22160906],Other PFASs,Aromatic PFASs,,10,,12
