SMILES,RDKIT_SMILES,range of docking_score,type,range of hit_ratio,hit_ratio
,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.23
,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O,,2,0,0
,OCCCC(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.04
,COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,,2,0,0
,O=C(OC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,2,0,0
,COC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,,2,0,0
,O=S(=O)(OCC(F)F)C(F)(F)F,,2,1,0.01
,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,,2,1,0.01
,OCC(F)(F)C(F)(F)C(F)(F)CO,,2,1,0.02
,OCC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.11
,O=S(=O)(OCCOC(F)(F)F)C(F)(F)F,,2,1,0.01
,CC=CC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.03
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.07
,FC(F)(F)C(F)(F)CNCC(F)(F)C(F)(F)F,,2,1,0.01
,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=CC(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.01
,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,,2,1,0.04
,FCOC(C(F)(F)F)C(F)(F)F,,2,0,0
,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,,2,1,0.02
,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.21
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.25
,O=CC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,CC(=O)C(F)(F)C(F)(F)F,,2,1,0.01
,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,7,0.35
,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(O)C=CC(F)(C(F)(F)F)C(F)(F)F,,2,1,0.01
