RDKIT_SMILES,SMILES,MHFP
O=C(Nc1ccc(Cl)cc1Cl)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=C(Cl)C=C1Cl,[250618452   8492060 107816900 ...  25560912   2232375  52353704]
CCCCCC(I)CC(F)(C(F)(F)F)C(F)(F)F,CCCCCC(I)CC(F)(C(F)(F)F)C(F)(F)F,[308643836 101635087 232751249 ... 200578621  26491559 261466434]
C=COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC=C,[ 29335720 104111782  31694403 ... 611624164 281920279 151237944]
CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944]
CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  97181807 ... 171882282  43796935 151237944]
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,[ 19469312  85244370 107816900 ... 286019159 163931591  46460802]
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].[O-]P(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908]
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(OC(=O)C=C)C(F)(F)F,[   853465 217338028 219293745 ... 291378977  52600439 212806028]
C[N+](C)(CCC/N=C(\O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(=O)O,C[N+](C)(CCC\N=C(/O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,[  7935073  33988699  47002521 ...   3633108 143021783 118698336]
OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[225481829 137369255  80764413 ...  88808901 168823863  10360726]
O=C(NCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  93274711 ... 173374004 252229687 151237944]
C/C=C/C(F)(F)C(F)(F)C(F)(F)F,C\C=C\C(F)(F)C(F)(F)C(F)(F)F,[ 69207293  95104175 107816900 ... 330153186  14046279 151237944]
CNc1nc(C(F)(F)C(F)(F)C(F)(F)F)n(C)n1,CNC1=NN(C)C(=N1)C(F)(F)C(F)(F)C(F)(F)F,[ 13458306  85189395  25617209 ...  44092020 260415911 107724166]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944]
CNCCCCS(=O)(=O)CCC(F)(C(F)(F)F)C(F)(F)F,CNCCCCS(=O)(=O)CCC(F)(C(F)(F)F)C(F)(F)F,[ 89754186  33988699  17313015 ... 442543271 166016711 130467758]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1c[nH]c2ccccc12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CNC2=C1C=CC=C2,[250618452  39139378  26425151 ... 215679073 172398567 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 104111782  97181807 ... 171882282  43796935  24985098]
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846 104111782  97181807 ... 207038152  47326567  22160906]
O=C=NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCN=C=O,[104946205  33988699  97181807 ... 171882282  43796935 151237944]
OC(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,OC(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,[250618452 111646592 107816900 ... 186412826 103665623 151237944]
C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC=C,[168244191 104111782  31694403 ... 291378977  99703927 151237944]
Cc1ccc(/N=C(\O)OCCNCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1/N=C(\O)OCCNCCCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1=C(C=C(C=C1)\N=C(/O)OCCNCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)\N=C(/O)OCCNCCCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[172546409  33988699  17313015 ... 155853978 111393351   3235642]
CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
C=COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC=C,[ 35941647 429712812  31694403 ... 286019159 240371511  46460802]
FC(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[250618452 505728944    180417 ...  92201024 281920279 151237944]
CC(=O)OCC1OC(OC(C)=O)C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OC(C)=O)C1OC(C)=O,CC(=O)OCC1OC(OC(C)=O)C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OC(C)=O)C1OC(C)=O,[ 19469312 107055568  17313015 ...  20663893 107222071  29302852]
OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  17810509  97181807 ... 611624164 134753287  83234406]
CCCCCCCCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944]
FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[ 49148242 104111782  97181807 ...  33784270  62452311 151237944]
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 21375283  33988699  17313015 ... 136323818 138388023 151237944]
FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[ 49148242 104111782  97181807 ...  33784270  62452311 151237944]
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[167874016  18520909  11781626 ... 464332181  78885079 151237944]
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)COC(=O)C=C,[ 19469312  13365381 107816900 ... 291378977 242373559 151237944]
O=C(CCCCCc1nc2cc3ccccc3cc2[nH]1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)CCCCCC1=NC2=CC3=CC=CC=C3C=C2N1,[250618452  39139378  45691652 ... 200578621    310759  93860188]
O=C(CI)NCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCNC(=O)CI,[207361274  33988699  84487243 ...  16631887  43796935 151237944]
C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[348874680  71013085  17313015 ... 253630925 101031895  36136210]
O=C1OC(O)(C(F)(C(F)(F)F)C(F)(F)F)c2c(F)c(F)c(F)c(F)c21,OC1(OC(=O)C2=C(F)C(F)=C(F)C(F)=C12)C(F)(C(F)(F)F)C(F)(F)F,[ 33612974   2148147  78177578 ... 210694286  15412375 169374042]
O=C(N(c1ccccc1)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1,[  4489977   8492060  97181807 ...   6946993 107767783  22134620]
CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944]
O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,[   853465 303014816  87855067 ...  37687752 101296679 151237944]
FC(F)(F)C(F)(F)C(F)(F)c1nccc2ccccc12,FC(F)(F)C(F)(F)C(F)(F)C1=C2C=CC=CC2=CC=N1,[124031924  39139378  61234772 ...  17799215  28481671  57102588]
FC(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944]
CCC(CN)C(F)(F)C(F)(F)C(F)(F)F,Cl.CCC(CN)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699 107816900 ... 553112776 108799879 151237944]
FC(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[231382269  29741236 159473681 ... 186412826 137279543 147560248]
FC(F)=C(F)OC(F)(F)C(F)(F)I,FC(F)=C(F)OC(F)(F)C(F)(F)I,[156871382 101247092  20760171 ... 274131234 101296679 174175058]
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  97181807 ... 413328262 128847015  46460802]
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(Br)C(F)(F)Br,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(Br)C(F)(F)Br,[   853465   9635651  33612732 ... 185861723  23638503  71007262]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[250618452 104111782  97181807 ... 154732742  43796935  93860188]
CC(C)CC(C)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)CC(C)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[113638662  29089014  97181807 ... 171882282  36611703  81234300]
O=[N+]([O-])c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,[O-][N+](=O)C1=CC=C(C=C1)C(F)(C(F)(F)F)C(F)(F)F,[  7060930 312252844 115092797 ... 144813810  72176439 208028644]
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 680578323  63064138 ...  53870161 281920279 151237944]
C[Si](C)(C)O[Si](C)(C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F,C[Si](C)(C)O[Si](C)(C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F,[146941168  88063690  54228732 ...  11942334 103410503  70364794]
CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
C[N+](C)(CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)CCC(=O)O,[H]N(CCC[N+](C)(C)CCC([O-])=O)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  7935073  33988699  47002521 ...   3633108  43796935 118698336]
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[I-].[H]N(CCC[N+](C)(C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[187923589  33988699  17313015 ... 136323818  90036311 151237944]
O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].[NH4+].OC(COP([O-])([O-])=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207530443  71278405  95504826 ... 171882282  43796935 151237944]
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)(=O)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[187923589  33988699  17313015 ... 136323818  90036311 151237944]
CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
CC(=O)/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[153245596 104111782  97181807 ...  65874932   9798663 117362326]
CCCCCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  40010548  97181807 ...   8587256 281920279 151237944]
OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944]
O=C(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 31946214  23316950  11781626 ... 199524352 124409255 151237944]
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[600729727 722753583 232751249 ... 611624164 212375735 261466434]
FC(F)(F)C(F)(F)C(F)(F)C(/C=C/I)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(\C=C\I)(C(F)(F)F)C(F)(F)F,[250618452  94390089  92943922 ...  57414303 281920279 151237944]
CC(=O)C(C(C)=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)C(C(C)=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 174789374  85552407 151237944]
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,[104828107 104111782  97181807 ... 203154325  14046279 151237944]
CCOC(=O)c1ccccc1C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)F,[250618452 162490790  14316170 ... 176223008 128307591  29516144]
Cc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1,CC1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(C)=C1,[250618452   8492060  41603599 ...  54552999  49046199 151237944]
O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=O,[250618452 104111782  97181807 ... 164897051  43796935 151237944]
FC(F)(F)C(F)(F)CCSCC1CO1,"FC(F)(F)C(F)(F)CCSCC1CO1 |lp:0:3,2:3,3:3,5:3,6:3,9:2,13:2,Sg:n:6,5,4:1-7:ht|",[250618452  14881643 107816900 ...  67219091 182528983 151237944]
OCC(O)COCC(F)(F)C(F)(F)C(F)(F)F,OCC(O)COCC(F)(F)C(F)(F)C(F)(F)F,[35941647 73299756 44473385 ... 15634821 33758967 46460802]
O=C(O)/C=C/C(F)(F)C(F)(F)C(F)(F)F,OC(=O)\C=C\C(F)(F)C(F)(F)C(F)(F)F,[216993070  78691711 107816900 ... 291378977  14046279  64829236]
O=C(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)F,FC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)F,[   853465 275083219 107816900 ...  65408281  94972823  63887868]
FC(F)(F)OC(F)(F)C(F)(F)Cl,FC(F)(F)OC(F)(F)C(F)(F)Cl,[111000236  52880295 293101578 ... 489249107 101296679  70269816]
FC(F)(F)C(F)(F)C(F)(F)COCC1CO1,FC(F)(F)C(F)(F)C(F)(F)COCC1CO1,[ 35941647  73299756 107816900 ...  67219091 281920279  46460802]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SCl,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SCl,[250618452 104111782  91294490 ... 149261763  22965431 151237944]
O=C(O)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,OC(=O)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  24668814   2943996 ...  36690505  39337911 115795448]
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,[250618452  58869667 107816900 ... 285534043  69000183 151237944]
O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[  7060930   8492060  97181807 ...  54552999  72176439 151237944]
FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[111000236 201948856  63064138 ...  53870161 281920279 151237944]
CCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944]
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1[N+](=O)[O-],CC1=CC(=CC=C1[N+]([O-])=O)C(F)(C(F)(F)F)C(F)(F)F,[  7060930 205702718  54868432 ... 144813810  72176439 126397210]
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[NH4+].[O-]C(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465 205622229 107816900 ... 189837130 101296679  50610154]
CN(C)CCCNC(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)CCCNC(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452   1815513 107816900 ...  16631887  43796935   6807840]
C=CC(=O)OCCN(CCCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 136323818 138388023  81500836]
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908]
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944]
CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944]
CCCCCCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916]
