SMILES,RDKIT_SMILES,RDKIT_SMILES_help
FC(F)(F)C(F)(OCCC[Si](Cl)(Cl)Cl)C(F)(F)F,FC(F)(F)C(F)(OCCC[Si](Cl)(Cl)Cl)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea2b0>
NC1=CC=C(C=C1)C1=NNC(=N1)C(F)(F)C(F)(F)C(F)(F)F,Nc1ccc(-c2n[nH]c(C(F)(F)C(F)(F)C(F)(F)F)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea0d0>
CC1=CC(=C(N1)C=O)C(F)(F)C(F)(F)C(F)(F)F,Cc1cc(C(F)(F)C(F)(F)C(F)(F)F)c(C=O)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea030>
FC(F)(F)C(F)(F)C(F)(F)C(Cl)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(Cl)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea7b0>
CCO[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,CCO[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea760>
CCOC(=O)CC(=O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)CC(=O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea710>
CCC(C)S(=O)C1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,CCC(C)S(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eae90>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eac60>
CCOC(=O)C1C(C(C(=O)OCC)C(O)(OC1(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,CCOC(=O)C1C(c2ccccc2)C(C(=O)OCC)C(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC1(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea580>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N[N+]1=CC=CC=C1,O=S(=O)(N[n+]1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eaee0>
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)C1=CC=C(C=C1)P(C1=CC=C(C=C1)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)c1ccc(P(c2ccc(C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea490>
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea530>
OC(=O)CC(F)(C(F)(F)F)C(F)(F)F,O=C(O)CC(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eac10>
CCCCC(CC)COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,CCCCC(CC)COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea9e0>
CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eab20>
FC(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eadf0>
FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F)C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eada0>
FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ecf80>
CCC(C)OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CCC(C)OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eca80>
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ecdf0>
CCCC\C(I)=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC/C(I)=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec0d0>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)Br,FC(F)(Br)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec030>
FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ece40>
CC(O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec850>
CC1(C)CC2=CC=CC=C2C(NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)=N1,CC1(C)Cc2ccccc2C(NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)=N1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec990>
OC(=O)C1=CC=C(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,O=C(O)c1ccc(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec170>
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec2b0>
