Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,docking_score,range of docking_score
3104,FC(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 236353143 151237944],PFAA precursors,HFCs,-7.8,7
3105,CCC(C)NC(=O)C(F)(F)C(F)(F)C(F)(F)F,CCC(C)NC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060 107816900 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,-6.382,8
3106,O=C(O)CC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)F,OC(=O)CC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(F)(=O)=O,[250618452  71013085  13956772 ... 253630925  46642071 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-6.149,8
3107,COc1ccc(/N=C(\Cl)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1,COC1=CC(C)=C(C=C1)\N=C(/Cl)C(F)(F)C(F)(F)C(F)(F)F,[ 63979857 292106323 107816900 ... 146715692 111393351 151237944],Other PFASs,Aromatic PFASs,-9.211,5
3108,CCc1ccccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F,CCC1=CC=CC=C1NC(=O)C(F)(F)C(F)(F)C(F)(F)F,[138816069   8492060  16239867 ...  54552999 100272231  11852866],Other PFASs,Aromatic PFASs,-8.786,6
3109,C=COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC=C,[ 35941647 429712812  31694403 ... 286019159 240371511  46460802],Other PFASs,others,-8.418,6
3110,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[217845993 215423514 107816900 ...  88808901  43796935  98778836],PFAA precursors,PolyFEACs,,18
3111,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846 104111782  18439196 ...  15279529  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,-8.443,6
3112,O=C(NCCCl)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NCCCl,[111000236   8492060 107816900 ... 190936528 144535159  25769638],Other PFASs,Amide derivatives,-6.723,8
3113,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801  18439196 ...  15279529  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,-9.478,5
3114,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[192864003 196028059  11501872 ... 145799486 101296679  81710418],PFAA precursors,PolyFEACs,-8.35,6
3115,F/C(OC(F)(F)C(F)(F)C(F)(F)F)=C(\F)c1ccccc1,F\C(OC(F)(F)C(F)(F)C(F)(F)F)=C(/F)C1=CC=CC=C1,[250618452 291448547  20760171 ... 126943162  23638503  29516144],Other PFASs,Aromatic PFASs,,18
3116,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC1(F)F,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC1(F)F,[250618452  41342666  99131671 ... 159832705  97692743 151237944],"PFAA precursors, cyclic","HFEs, cyclic",-6.845,8
3117,Cc1ccc(C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CC1=CC=C(C=C1)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[152075867  44409534  97181807 ... 310776138  49046199 151237944],Other PFASs,Aromatic PFASs,-9.085,5
3118,COc1nc(C(F)(F)C(F)(F)C(F)(F)F)n(C)n1,COC1=NN(C)C(=N1)C(F)(F)C(F)(F)C(F)(F)F,[ 13458306  14788533 107816900 ... 321796966 193528679  93773320],Other PFASs,Aromatic PFASs,-6.499,8
3119,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846 104111782  97181807 ... 207038152  47326567  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,-8.347,6
3120,FC(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944],PFAA precursors,PolyFAenes,-7.69,7
3121,F/C(I)=C(/F)C(F)(C(F)(F)F)C(F)(F)F,F\C(I)=C(\F)C(F)(C(F)(F)F)C(F)(F)F,[404941233 575291706 155709947 ...  65874932 239720791 201568010],PFAA precursors,PolyFAenes,-6.654,8
3122,Cc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(C)(=O)=O,CC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(C)(=O)=O,[ 52793636 191941852  17313015 ...  63751395 266170263 233420030],Other PFASs,Aromatic PFASs,-8.061,6
3123,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,18
3124,O=S(=O)(OCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[138900744 107055568  17313015 ...  25029786 107222071  29302852],PFAAs,PFSA derivatives,-7.001,7
