Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,docking_score,range of docking_score
237,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106 107816900 ... 611624164 281920279 151237944],Other PFASs,Perfluoroalkanes,-6.232,8
238,CCN(CCC[Si](Cl)(Cl)Cl)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCC[Si](Cl)(Cl)Cl)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818 138388023 151237944],Other PFASs,Si PFASs,,18
239,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1csc2ccccc12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CSC2=CC=CC=C12,[140639635  39139378  26425151 ...  87854739   6990775 151237944],Other PFASs,Aromatic PFASs,-9.577,5
240,CCC(C)(C)c1ccc(OCCCCCC(=O)Nc2ccc(NC(=O)C(F)(F)C(F)(F)C(F)C(F)(F)F)c(O)c2)c(C(C)(C)CC)c1,CCC(C)(C)C1=CC(=C(OCCCCCC(=O)NC2=CC(O)=C(NC(=O)C(F)(F)C(F)(F)C(F)C(F)(F)F)C=C2)C=C1)C(C)(C)CC,[ 54297102   8492060 107816900 ...   8335515 111393351  39490710],Other PFASs,Aromatic PFASs,,18
241,O=C(OOC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)OOC(=O)C(F)(F)C(F)(F)C(F)(F)F,[148576640 355345375  87855067 ... 241114849 281920279 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-7.396,7
242,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  85821563  97181807 ...  65874932 281920279 151237944],PFAA precursors,PFAenes,-8.726,6
243,N#CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSC#N,[145920482  49018156  40876812 ... 171882282  43796935 117501932],PFAA precursors,n:2 fluorotelomer-based substances,-8.171,6
244,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,[111000236 201948856  87855067 ...  37687752 281920279 151237944],Polyfluoroalkyl acids,PolyFCAs,-9.925,5
245,CCCC(F)(F)C(F)(F)C(F)(F)F,CCCC(F)(F)C(F)(F)C(F)(F)F,[250618452 245019154 107816900 ...  16631887 281920279 151237944],PFAA precursors,SFAs,-6.884,8
246,O=C1CCCC1C(=O)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)C1CCCC1=O,[ 43179712  96461932 107816900 ...  28297836 124409255  75695922],"PFAA precursors, cyclic","PFAK derivatives, cyclic",-6.996,8
247,CC(C)NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  97181807 ... 194511214 267734151  37317618],Other PFASs,Amide derivatives,-8.518,6
248,CC(=O)c1c[nH]cc1C(F)(F)C(F)(F)C(F)(F)F,CC(=O)C1=CNC=C1C(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106 105751502 ...   3285018 106425239   6308550],Other PFASs,Aromatic PFASs,-8.691,6
249,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Perfluoroalkanes,-9.123,5
250,*OC(=O)c1cc(C(=O)O*)c(C(=O)O*)cc1C(=O)O*,"[*]OC(=O)C1=CC(C(=O)O[*])=C(C=C1C(=O)O[*])C(=O)O[*] |$_R1;;;;;;;;;;_R1;;;;;;;_R1;;;;_R1$,c:10,12,t:4,lp:1:2,3:2,8:2,9:2,15:2,16:2,19:2,20:2,RG:_R1={*[H] |$_AP1;$|},{FC(F)(F)CC* |$;;;;;;_AP1$,lp:0:3,2:3,3:3,Sg:n:3,2,1:1-7:ht|},{OC(CCl)C* |$;;;;;_AP1$,lp:0:2,3:3|}|",[205057507 191941852 257997569 ...  68162814 308855783 545929886],Not PFAS,Not PFAS by current definition,,18
251,O=S(=O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].[O-]S(=O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  17313015 ...  25029786  43796935 151237944],Other PFASs,others,-8.729,6
252,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[K+].CCN(CC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818 138388023 110011752],PFAA precursors,PASF-based substances,-9.156,5
253,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C)(F)F,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-9.36,5
254,CN(CC1CN(CCCCCCN2CC(CN(C)S(=O)(=O)C(F)(F)C(F)(F)F)OC2=O)C(=O)O1)S(=O)(=O)C(F)(F)C(F)(F)F,"CN(CC1CN(CCCCCCN2CC(CN(C)S(=O)(=O)C(F)(F)C(F)(F)F)OC2=O)C(=O)O1)S(=O)(=O)C(F)(F)C(F)(F)F |lp:1:1,5:1,12:1,16:1,19:2,20:2,22:3,23:3,25:3,26:3,27:3,28:2,30:2,32:2,33:2,35:2,36:2,38:3,39:3,41:3,42:3,43:3,Sg:n:23,22,21:3-7:ht,Sg:n:39,38,37:3-7:ht|",[ 31180695  33988699  17313015 ... 109005201  59468999 261466434],"PFAA precursors, cyclic","PASF-based substances, cyclic",,18
255,O=S1(=O)C(F)(F)C(F)(F)C(F)(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)S(=O)(=O)C1(F)F,[250618452 107055568  17313015 ... 253630925 198857367 151237944],"PFAA precursors, cyclic","PASFs, cyclic",-6.238,8
256,C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(=O)O,C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC([O-])=O,[  7935073   8492060  47002521 ...   3633108 143021783 118698336],Other PFASs,Amide derivatives,-8.355,6
257,C=C/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C=C,[214133059 104111782  97181807 ... 330153186  14046279 151237944],Other PFASs,others,-7.94,7
258,CC(=O)NS(=O)(=O)c1ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CC(=O)NS(=O)(=O)C1=CC=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[250618452  49322122  17313015 ...  60984922  22685495  19949796],Other PFASs,Aromatic PFASs,-7.795,7
259,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,-8.146,6
260,CC(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 233475266 107816900 ... 129030002 124409255  75695922],PFAA precursors,PFAK derivatives,-6.104,8
261,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[ 35941647 429712812 107816900 ... 286019159 128847015  46460802],PFAA precursors,PolyFACs,-9.703,5
262,FC(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,-8.738,6
263,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,-7.258,7
264,FC(F)(F)C(F)(F)C(F)(F)c1nnc2ccc(N3CCOCC3)nn12,FC(F)(F)C(F)(F)C(F)(F)C1=NN=C2C=CC(=NN12)N1CCOCC1,[ 13458306  10901212  48805970 ...  10629524  39303559 151237944],Other PFASs,Aromatic PFASs,-8.334,6
265,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944],PFAA precursors,HFCs,-7.183,7
266,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccsc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CSC=C1,[115611454  30760755  19485482 ... 162895639 218381287 151237944],Other PFASs,Aromatic PFASs,-9.032,5
267,CC(C)N(C(C)C)P(OCCC#N)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)N(C(C)C)P(OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC#N,[53388038 46331545 95504826 ... 16631887 43796935 84828606],Other PFASs,others,,18
268,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,18
269,COC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,COC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,[   853465   9635651  20760171 ... 274242922  69108455 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-7.353,7
270,CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cl.CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  17313015 ... 136323818  90036311 151237944],PFAA precursors,PASF-based substances,-7.199,7
271,*C(*)(CCOC(=O)C=C)C(*)(*)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C([*])([*])C([*])([*])CCOC(=O)C=C |$;;;;;;;;;;;;;;_R1;_R1;;_R1;_R1;;;;;;;$,lp:0:3,2:3,3:3,5:3,6:3,8:3,9:3,11:3,12:3,21:2,23:2,RG:_R1={F* |$;_AP1$,lp:0:3|},LOG={_R1:;H;>0},Sg:n:12,11,10:1-15:ht|",[ 19469312  85244370  97181807 ... 148700599 182537207 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,18
272,O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC(COP(O)(O)=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[207530443  71278405  95504826 ...  88808901  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,-10.875,4
273,O=C(OC1CCCCC1)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(=O)OC1CCCCC1)C(F)(F)F,[   853465  58869667 107816900 ...  14773538  23638503  71007262],"Polyfluoroalkyl acids, cyclic","PolyFCA derivatives, cyclic",-8.879,6
274,O=C(O)C[N+]1(CCO)CCN(C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,OCC[N+]1(CC([O-])=O)CCN(CC1)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 26283414   8492060  12560177 ... 129830716 281920279   5587662],"Other PFASs, cyclic","Amide derivatives, cyclic",-8.894,6
275,CCCC/C=C/C(F)(F)C(F)(F)C(F)(F)F,CCCC\C=C\C(F)(F)C(F)(F)C(F)(F)F,[178291359  95104175 107816900 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,,18
276,FC(F)(F)C(F)(F)C(F)(F)C1CCCCC1I,FC(F)(F)C(F)(F)C(F)(F)C1CCCCC1I,[18334767 58869667 50568019 ... 49411404 22204055 51279624],"Other PFASs, cyclic","Polyfluoroalkanes, cyclic",-8.808,6
277,N#CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSC#N,[145920482  49018156  40876812 ... 171882282  43796935 117501932],PFAA precursors,n:2 fluorotelomer-based substances,-7.834,7
278,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,-7.284,7
279,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  15519587  97181807 ... 358933099 197705815 151237944],Other PFASs,others,-8.861,6
280,O=S(=O)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(Cl)(=O)=O,[250618452  49018156  17313015 ... 171882282  43796935 151237944],PFAA precursors,Sulfonyl chloride,-9.187,5
281,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[146941168  88063690  54228732 ...  11942334 281920279 151237944],PFAA precursors,HFCs,-7.593,7
282,FC(F)(F)C(F)(c1ccc2c(c1)CCN2)C(F)(F)F,FC(F)(F)C(F)(C1=CC2=C(NCC2)C=C1)C(F)(F)F,[189801595  33988699  41603599 ... 125661885  94767431 169910566],Other PFASs,Aromatic PFASs,-9.287,5
283,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  93199687  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,-8.992,6
284,CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:2:1,5:2,9:2,11:2,12:2,14:3,15:3,17:3,18:3,20:3,21:3,23:3,24:3,26:3,27:3,28:3,Sg:n:8,7,6,5::ht|",[ 34574211  33988699  17313015 ... 136323818  33758967 151237944],PFAA precursors,PASF-based substances,,18
285,CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,,18
286,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[191442385 104111782  17313015 ... 155853978 104129879 151237944],PFAAs,PFSAs,-8.784,6
287,NCC(=O)Nc1cc(B(O)O)ccc1C(F)(F)C(F)(F)C(F)(F)F,NCC(=O)NC1=CC(=CC=C1C(F)(F)C(F)(F)C(F)(F)F)B(O)O,[237301144  33988699  41603599 ...  80652131 281920279  69549818],Other PFASs,Aromatic PFASs,,18
288,O=CCC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)CC=O,[250618452 168982598 107816900 ... 164897051 281920279 151237944],PFAA precursors,n:2 fluorotelomer-based substances,-6.132,8
289,CCCCCCCCCCCCCCCCCCN1CC(CN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC1=O,"CCCCCCCCCCCCCCCCCCN1CC(CN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC1=O |lp:18:1,22:1,25:2,26:2,28:3,29:3,31:3,32:3,34:3,35:3,37:3,38:3,39:3,40:2,42:2,Sg:n:29,28,27:1-5:ht|",[ 31180695  33988699  17313015 ... 109005201  59468999  29302852],"PFAA precursors, cyclic","PASF-based substances, cyclic",,18
290,FC(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,FC(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,[250618452  21086568 107816900 ...  88808901 153496343 151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",-8.278,6
291,O=C(O)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].[O-]C(=O)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[149537069 104111782  95264338 ...  86286560  68472071 151237944],PFAAs,PFCAs,-7.151,7
292,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[191442385 104111782  17313015 ... 155853978 104129879 151237944],PFAAs,PFSAs,-8.126,6
293,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 104111782  97181807 ...  52063218  43796935 145874996],"Other PFASs, cyclic","others, cyclic",-8.627,6
294,NNC(=NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,NNC(=NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[117015094   8492060 107816900 ... 194511214 281920279  41290678],Other PFASs,Amide derivatives,-7.77,7
295,FC(F)=NC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)=NC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 136288057  62348548 ... 326620509 229402855 151237944],Other PFASs,others,-6.588,8
296,O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[245734716  71278405  42493806 ...  31057643 126736119  49392212],PFAAs,PFPAs,-8.152,6
297,FC(F)C(F)(F)OCC1CO1,"FC(F)C(F)(F)OCC1CO1 |lp:0:3,2:3,4:3,5:3,6:2,10:2,Sg:n:5,4,3:1-3:ht|",[  9039219  71290352 229325621 ...  67219091 101296679 255548206],"PFAA precursors, cyclic","HFEs, cyclic",-5.272,9
298,O=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1C=CCC1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NC(=O)C1CCC=C1,[ 97305005 107055568  17313015 ...  87223440  90036311  29302852],"PFAA precursors, cyclic","PASF-based substances, cyclic",-7.833,7
299,C=COC(=O)CC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)CC(=O)OC=C,[168244191 541103106  31694403 ... 291378977 193393559 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-6.389,8
300,Oc1ccc(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,OC1=CC=C(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 54297102  36123943  22645447 ...  53086222  18477239 151237944],Other PFASs,Aromatic PFASs,-11.573,3
301,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  32228994 ... 194511214 168362439 151237944],Other PFASs,Amide derivatives,-8.972,6
302,FC(F)(F)C(F)(F)C(F)(F)c1cccc(Br)c1,FC(F)(F)C(F)(F)C(F)(F)C1=CC(Br)=CC=C1,[250618452 227868861  84382633 ... 176223008 281920279 151237944],Other PFASs,Aromatic PFASs,-8.629,6
303,CCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,18
304,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"[NH4+].[O-]S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:1:3,3:2,4:2,8:3,9:3,11:3,12:3,14:3,15:3,17:3,18:3,19:3,Sg:n:9,8,7:1-7:ht|",[250618452  49018156  17313015 ... 162477053  62647831 101347708],Polyfluoroalkyl acids,PolyFSAs,-7.503,7
305,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...   8368225  99703927  64222056],PFAAs,PFCA-anhydrides,-7.902,7
306,NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  97181807 ... 171882282  43796935 151237944],Other PFASs,others,-8.793,6
307,O=C(O)C(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 278615587 107816900 ...  88808901 281920279  30295852],PFAAs,PFCAs,-7.455,7
308,O=C(Cl)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(Cl)=O)C(F)(F)F,[   853465  90791381 107816900 ...  77318260  23638503  71007262],Other PFASs,Polyfluoroalkyl ethers and derivatives,-6.499,8
309,Oc1ccc(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,OC1=CC=C(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 54297102  36123943  22645447 ...  53086222  18477239 151237944],Other PFASs,Aromatic PFASs,-10.513,4
